2025-12-15_17-04-44,0,Main.java:2025-12-15_17-04-44
2025-12-15_17-05-10,0,Main.java:2025-12-15_17-05-10
2025-12-15_17-06-11,0,Main.java:2025-12-15_17-06-11
2025-12-15_17-06-27,0,Main.java:2025-12-15_17-06-27
2025-12-15_17-06-53,0,Main.java:2025-12-15_17-06-53
2025-12-15_17-07-34,0,Main.java:2025-12-15_17-07-34
2025-12-15_17-09-31,33,Main.java:2025-12-15_17-09-31
2025-12-15_17-13-07,0,Main.java:2025-12-15_17-13-07
2025-12-15_17-13-24,0,Main.java:2025-12-15_17-13-24
2025-12-15_17-13-55,33,Main.java:2025-12-15_17-13-55
2025-12-15_17-18-07,33,Main.java:2025-12-15_17-18-07
2025-12-15_17-18-22,100,Main.java:2025-12-15_17-18-22
